権利付最終日,銘柄コード,銘柄名,市場,貸借,始値,始値/前日終値,前日出来高,時価総額,発行株数,PER,PBR,単位,逆日歩_料率,逆日歩_日数,日証金_当日買い残高,日証金_当日買い新規,日証金_当日売り残高,日証金_当日売り新規,日証金_当日残高倍率,日証金_前日買い残高,日証金_前日買い新規,日証金_前日売り残高,日証金_前日売り新規,日証金_前日残高倍率,逆日歩確報
2013-02-25,7611,ハイデイ日高,東1,貸借,755.0,1.0105960264900662,226362.0,28807340000.0,38155417.21854305,14.2,2.14,100,1.4,1,2760.0,120.0,245280.0,193440.0,0.01,6120.0,3000.0,53760.0,9960.0,0.11,1.4
2013-02-25,7630,壱番屋,東1,貸借,1490.0,1.0046979865771812,30800.0,47553770000.0,31915281.87919463,21.97,1.98,100,0.1,1,3000.0,0.0,123800.0,0.0,0.02,3000.0,0.0,127600.0,200.0,0.02,0.1
2013-02-25,7649,スギホールディングス,東1,貸借,3315.0,0.9819004524886876,238800.0,209941720000.0,63330835.59577677,16.62,2.02,100,0.55,1,6900.0,0.0,429900.0,360300.0,0.02,8700.0,1700.0,72900.0,25700.0,0.12,0.55
2013-02-25,7679,薬王堂ホールディングス,東1,不明,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,7811,中本パックス,東1,貸借,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,7818,トランザクション,東1,制度,126.0,0.9920634920634921,66400.0,3210730000.0,25481984.12698413,7.31,1.24,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,7829,サマンサタバサジャパンリミテッド,東M,制度,258.0,1.007751937984496,75800.0,9088720000.0,35227596.899224795,-1.0,1.14,100,0.0,1,442.0,122.0,0.0,0.0,-1.0,320.0,4.0,0.0,0.0,-1.0,0.0
2013-02-25,8008,４℃ホールディングス,東1,貸借,1041.0,1.0028818443804035,47700.0,30533940000.0,29331354.46685879,10.95,0.75,100,0.85,1,2100.0,0.0,335300.0,319800.0,0.01,5000.0,2200.0,18700.0,8900.0,0.27,0.85
2013-02-25,8011,三陽商会,東1,貸借,260.0,0.9884615384615384,715000.0,32819620000.0,126229307.69230773,9.0,0.59,100,0.0,1,18900.0,100.0,5600.0,5500.0,3.38,19100.0,400.0,100.0,0.0,191.0,0.0
2013-02-25,8016,オンワードホールディングス,東1,貸借,754.0,1.0026525198938991,1183000.0,130382930000.0,172921657.82493368,28.95,0.8,100,0.5,1,39000.0,0.0,933000.0,798000.0,0.04,51000.0,5000.0,151000.0,59000.0,0.34,0.5
2013-02-25,8143,ラピーヌ,東2,制度,910.0,0.989010989010989,15900.0,2518020000.0,2767054.945054945,13.58,0.34,100,0.0,1,31300.0,400.0,0.0,0.0,-1.0,31400.0,1800.0,0.0,0.0,-1.0,0.0
2013-02-25,8166,タカキュー,東1,貸借,333.0,1.015015015015015,142500.0,8148780000.0,24470810.81081081,7.26,1.13,100,0.0,1,521000.0,16500.0,0.0,0.0,-1.0,532500.0,14500.0,0.0,0.0,-1.0,0.0
